time	species	protein	transcript	ribo_density
34.007581	proteinP	11.000000	1.000000	13.000000
34.999358	__proteinP_rbs	0.000000	0.000000	0.000000
34.999358	__ribosome	86.000000	0.000000	0.000000
34.999358	proteinP	11.000000	1.000000	14.000000
36.002553	__proteinP_rbs	0.000000	0.000000	0.000000
36.002553	__ribosome	86.000000	0.000000	0.000000
36.002553	proteinP	12.000000	1.000000	14.000000
37.001806	__proteinP_rbs	0.000000	0.000000	0.000000
37.001806	__ribosome	87.000000	0.000000	0.000000
37.001806	proteinP	14.000000	1.000000	13.000000
38.001414	__proteinP_rbs	1.000000	0.000000	0.000000
38.001414	__ribosome	88.000000	0.000000	0.000000
38.001414	proteinP	15.000000	1.000000	12.000000
39.001519	__proteinP_rbs	1.000000	0.000000	0.000000
39.001519	__ribosome	88.000000	0.000000	0.000000
39.001519	proteinP	15.000000	1.000000	12.000000
40.001043	__proteinP_rbs	0.000000	0.000000	0.000000
40.001043	__ribosome	88.000000	0.000000	0.000000
40.001043	proteinP	16.000000	1.000000	12.000000
41.001127	__proteinP_rbs	0.000000	0.000000	0.000000
41.001127	__ribosome	87.000000	0.000000	0.000000
41.001127	proteinP	16.000000	1.000000	13.000000
42.011785	__proteinP_rbs	0.000000	0.000000	0.000000
42.011785	__ribosome	88.000000	0.000000	0.000000
42.011785	proteinP	18.000000	1.000000	12.000000
43.000439	__proteinP_rbs	1.000000	0.000000	0.000000
43.000439	__ribosome	89.000000	0.000000	0.000000
43.000439	proteinP	19.000000	1.000000	11.000000
43.999555	__proteinP_rbs	1.000000	0.000000	0.000000
43.999555	__ribosome	89.000000	0.000000	0.000000
43.999555	proteinP	19.000000	1.000000	11.000000
45.002431	__proteinP_rbs	1.000000	0.000000	0.000000
45.002431	__ribosome	89.000000	0.000000	0.000000
45.002431	proteinP	20.000000	1.000000	11.000000
46.002960	__proteinP_rbs	0.000000	0.000000	0.000000
46.002960	__ribosome	88.000000	0.000000	0.000000
46.002960	proteinP	20.000000	1.000000	12.000000
46.999525	__proteinP_rbs	0.000000	0.000000	0.000000
46.999525	__ribosome	88.000000	0.000000	0.000000
