time	species	protein	transcript	ribo_density
34.001502	proteinP	12.000000	1.000000	11.000000
35.008301	__proteinP_rbs	0.000000	0.000000	0.000000
35.008301	__ribosome	89.000000	0.000000	0.000000
35.008301	proteinP	13.000000	1.000000	11.000000
36.004355	__proteinP_rbs	0.000000	0.000000	0.000000
36.004355	__ribosome	88.000000	0.000000	0.000000
36.004355	proteinP	13.000000	1.000000	12.000000
37.001252	__proteinP_rbs	0.000000	0.000000	0.000000
37.001252	__ribosome	87.000000	0.000000	0.000000
37.001252	proteinP	13.000000	1.000000	13.000000
38.014902	__proteinP_rbs	0.000000	0.000000	0.000000
38.014902	__ribosome	87.000000	0.000000	0.000000
38.014902	proteinP	14.000000	1.000000	13.000000
39.005537	__proteinP_rbs	1.000000	0.000000	0.000000
39.005537	__ribosome	88.000000	0.000000	0.000000
39.005537	proteinP	15.000000	1.000000	12.000000
40.005135	__proteinP_rbs	1.000000	0.000000	0.000000
40.005135	__ribosome	88.000000	0.000000	0.000000
40.005135	proteinP	15.000000	1.000000	12.000000
41.003719	__proteinP_rbs	0.000000	0.000000	0.000000
41.003719	__ribosome	88.000000	0.000000	0.000000
41.003719	proteinP	16.000000	1.000000	12.000000
42.002677	__proteinP_rbs	1.000000	0.000000	0.000000
42.002677	__ribosome	89.000000	0.000000	0.000000
42.002677	proteinP	17.000000	1.000000	11.000000
42.999841	__proteinP_rbs	1.000000	0.000000	0.000000
42.999841	__ribosome	90.000000	0.000000	0.000000
42.999841	proteinP	18.000000	1.000000	10.000000
44.000753	__proteinP_rbs	0.000000	0.000000	0.000000
44.000753	__ribosome	89.000000	0.000000	0.000000
44.000753	proteinP	18.000000	1.000000	11.000000
45.005537	__proteinP_rbs	1.000000	0.000000	0.000000
45.005537	__ribosome	90.000000	0.000000	0.000000
45.005537	proteinP	19.000000	1.000000	10.000000
45.999818	__proteinP_rbs	0.000000	0.000000	0.000000
45.999818	__ribosome	90.000000	0.000000	0.000000
45.999818	proteinP	20.000000	1.000000	10.000000
47.001023	__proteinP_rbs	0.000000	0.000000	0.000000
47.001023	__ribosome	90.000000	0.000000	0.000000
47.001023	proteinP	21.000000	1.000000	10.000000
48.001799	__proteinP_rbs	0.000000	0.000000	0.000000
48.001799	__ribosome	89.000000	0.000000	0.000000
48.001799	proteinP	21.000000	1.000000	11.000000
49.000876	__proteinP_rbs	1.000000	0.000000	0.000000
49.000876	__ribosome	89.000000	0.000000	0.000000
49.000876	proteinP	21.000000	1.000000	11.000000
50.000088	__proteinP_rbs	0.000000	0.000000	0.000000
50.000088	__ribosome	89.000000	0.000000	0.000000
50.000088	proteinP	22.000000	1.000000	11.000000
51.009970	__proteinP_rbs	1.000000	0.000000	0.000000
51.009970	__ribosome	89.000000	0.000000	0.000000
51.009970	proteinP	22.000000	1.000000	11.000000
52.000159	__proteinP_rbs	1.000000	0.000000	0.000000
52.000159	__ribosome	89.000000	0.000000	0.000000
52.000159	proteinP	22.000000	1.000000	11.000000
53.006189	__proteinP_rbs	0.000000	0.000000	0.000000
53.006189	__ribosome	90.000000	0.000000	0.000000
53.006189	proteinP	24.000000	1.000000	10.000000
54.004702	__proteinP_rbs	0.000000	0.000000	0.000000
54.004702	__ribosome	89.000000	0.000000	0.000000
54.004702	proteinP	24.000000	1.000000	11.000000
54.999393	__proteinP_rbs	1.000000	0.000000	0.000000
54.999393	__ribosome	89.000000	0.000000	0.000000
54.999393	proteinP	24.000000	1.000000	11.000000
56.001656	__proteinP_rbs	0.000000	0.000000	0.000000
56.001656	__ribosome	89.000000	0.000000	0.000000
56.001656	proteinP	25.000000	1.000000	11.000000
57.001502	__proteinP_rbs	0.000000	0.000000	0.000000
57.001502	__ribosome	90.000000	0.000000	0.000000
57.001502	proteinP	27.000000	1.000000	10.000000
58.011930	__proteinP_rbs	0.000000	0.000000	0.000000
58.011930	__ribosome	89.000000	0.000000	0.000000
58.011930	proteinP	27.000000	1.000000	11.000000
59.000921	__proteinP_rbs	1.000000	0.000000	0.000000
59.000921	__ribosome	90.000000	0.000000	0.000000
59.000921	proteinP	28.000000	1.000000	10.000000
60.004095	__proteinP_rbs	0.000000	0.000000	0.000000
60.004095	__ribosome	90.000000	0.000000	0.000000
60.004095	proteinP	29.000000	1.000000	10.000000
61.002613	__proteinP_rbs	0.000000	0.000000	0.000000
61.002613	__ribosome	89.000000	0.000000	0.000000
61.002613	proteinP	29.000000	1.000000	11.000000
62.008484	__proteinP_rbs	0.000000	0.000000	0.000000
62.008484	__ribosome	89.000000	0.000000	0.000000
62.008484	proteinP	29.000000	1.000000	11.000000
62.999310	__proteinP_rbs	1.000000	0.000000	0.000000
62.999310	__ribosome	89.000000	0.000000	0.000000
62.999310	proteinP	29.000000	1.000000	11.000000
63.999533	__proteinP_rbs	1.000000	0.000000	0.000000
63.999533	__ribosome	89.000000	0.000000	0.000000
63.999533	proteinP	30.000000	1.000000	11.000000
64.999203	__proteinP_rbs	0.000000	0.000000	0.000000
64.999203	__ribosome	88.000000	0.000000	0.000000
64.999203	proteinP	30.000000	1.000000	12.000000
66.003228	__proteinP_rbs	0.000000	0.000000	0.000000
66.003228	__ribosome	88.000000	0.000000	0.000000
66.003228	proteinP	31.000000	1.000000	12.000000
67.005650	__proteinP_rbs	0.000000	0.000000	0.000000
67.005650	__ribosome	89.000000	0.000000	0.000000
67.005650	proteinP	33.000000	1.000000	11.000000
68.001527	__proteinP_rbs	0.000000	0.000000	0.000000
68.001527	__ribosome	88.000000	0.000000	0.000000
68.001527	proteinP	33.000000	1.000000	12.000000
68.999012	__proteinP_rbs	0.000000	0.000000	0.000000
68.999012	__ribosome	87.000000	0.000000	0.000000
68.999012	proteinP	33.000000	1.000000	13.000000
69.999895	__proteinP_rbs	0.000000	0.000000	0.000000
69.999895	__ribosome	87.000000	0.000000	0.000000
69.999895	proteinP	34.000000	1.000000	13.000000
70.999884	__proteinP_rbs	1.000000	0.000000	0.000000
70.999884	__ribosome	87.000000	0.000000	0.000000
70.999884	proteinP	34.000000	1.000000	13.000000
71.999264	__proteinP_rbs	1.000000	0.000000	0.000000
71.999264	__ribosome	87.000000	0.000000	0.000000
71.999264	proteinP	34.000000	1.000000	13.000000
73.001087	__proteinP_rbs	0.000000	0.000000	0.000000
73.001087	__ribosome	88.000000	0.000000	0.000000
73.001087	proteinP	36.000000	1.000000	12.000000
74.004337	__proteinP_rbs	0.000000	0.000000	0.000000
74.004337	__ribosome	87.000000	0.000000	0.000000
74.004337	proteinP	36.000000	1.000000	13.000000
75.002445	__proteinP_rbs	1.000000	0.000000	0.000000
75.002445	__ribosome	88.000000	0.000000	0.000000
75.002445	proteinP	37.000000	1.000000	12.000000
75.999928	__proteinP_rbs	0.000000	0.000000	0.000000
75.999928	__ribosome	88.000000	0.000000	0.000000
75.999928	proteinP	38.000000	1.000000	12.000000
77.015935	__proteinP_rbs	0.000000	0.000000	0.000000
77.015935	__ribosome	88.000000	0.000000	0.000000
77.015935	proteinP	39.000000	1.000000	12.000000
77.999291	__proteinP_rbs	0.000000	0.000000	0.000000
