slow_rt,fast_rt,prod_rt,transcript 
1,100,1.167,1,1,100,100,100,1,100,100,1,100,100,1,1,100,100,1,1,100,100,100,100,100,1,1,100,1,100,1,100,1,1,100,100,100,100,1,100,100,100,100,1,100,100,100,1,1,100,1,1,1,1,100,1,100,100,1,100,1,100,1,100,100,1,100,100,1,1,1,100,1,1,100,100,1,100,1,100,1,1,100,100,1,100,1,100,1,100,1,100,1,100,1,100,1,100,1,100,100,1,1,1,100,100,100,1,100,100,1,100,1,100,1,100,100,100,100,1,1,100,1
2,100,1.714,2,2,100,100,100,100,2,2,100,100,2,2,100,2,100,100,100,2,100,2,2,100,2,100,100,2,2,100,2,2,100,100,100,100,100,100,100,2,2,100,100,2,100,100,2,100,100,100,2,2,100,2,2,2,2,100,2,2,2,100,100,100,100,2,100,2,100,2,2,100,2,100,100,100,2,100,2,100,2,2,2,100,100,100,100,2,100,100,2,100,2,2,100,100,100,2,2,100,100,100,100,100,2,2,2,2,2,100,100,2,2,100,100,2,2,100,100,100,100,100
3,100,1.468,3,3,100,100,3,100,100,3,3,100,3,100,3,3,100,3,3,100,3,3,100,100,3,100,3,100,3,3,100,3,100,100,3,3,100,3,100,3,100,3,3,100,3,3,100,100,100,3,3,100,100,100,100,100,100,3,100,100,100,3,100,100,3,100,3,100,100,100,100,3,3,100,100,3,100,100,3,100,3,3,3,100,3,3,100,100,3,100,100,3,100,100,3,3,3,100,3,100,3,100,3,100,3,100,100,100,3,100,3,100,100,100,3,100,3,100,100,100,100,100
4,100,1.555,100,4,100,100,100,100,100,4,100,4,100,4,4,4,100,100,100,100,4,4,100,100,100,100,100,4,4,100,100,4,100,100,4,100,100,4,100,4,100,4,4,100,100,4,4,4,100,4,4,100,4,100,4,4,100,100,4,4,4,4,4,4,4,4,4,4,4,100,4,100,100,100,100,4,4,100,100,4,100,100,100,100,100,4,100,100,4,100,4,4,4,100,4,4,4,4,100,4,4,4,100,4,100,4,4,4,100,100,4,4,100,4,100,4,4,100,100,100,100,4
5,100,1.825,100,5,5,5,5,5,100,5,5,100,100,100,100,5,5,5,5,100,5,100,5,100,5,5,100,100,100,5,100,100,5,100,100,5,5,100,5,100,100,5,100,5,5,5,100,100,5,5,5,100,5,100,100,100,5,100,5,100,100,100,100,5,100,5,100,100,5,100,100,5,5,5,5,5,100,5,5,100,100,100,5,100,100,100,100,100,100,100,5,5,100,5,100,5,100,100,5,5,5,5,5,100,5,5,5,5,5,100,5,100,5,100,5,100,5,5,100,5,100,5
6,100,1.878,6,6,100,100,6,100,100,100,6,100,100,100,100,6,100,100,6,100,6,100,100,6,6,6,6,6,6,6,6,100,6,100,6,100,6,6,6,100,100,6,100,100,100,100,6,6,6,100,6,6,100,100,100,6,6,100,100,6,6,100,6,6,100,100,6,6,6,6,6,6,6,6,6,100,6,100,6,100,100,100,6,6,100,6,6,6,100,100,6,6,6,6,100,6,100,100,100,100,100,6,6,100,100,100,100,6,100,100,100,6,6,100,100,100,100,100,100,100,6,6
7,100,2.048,7,7,7,7,100,100,100,100,100,100,7,100,100,7,100,100,100,7,100,7,7,100,100,7,7,100,7,100,7,7,7,7,7,100,100,7,100,7,100,7,100,100,100,100,7,7,100,7,100,7,7,100,7,100,100,7,100,7,7,100,7,100,7,100,7,7,7,7,7,7,7,7,100,7,100,7,100,7,100,100,7,7,100,7,100,100,7,7,100,7,100,100,100,100,7,7,7,100,7,100,7,7,7,100,100,100,7,7,100,7,7,100,7,100,7,7,7,100,7,7
8,100,1.916,8,100,8,100,8,8,100,8,100,8,100,8,100,8,8,100,100,8,100,100,8,100,8,100,100,100,8,100,8,100,8,100,100,100,8,100,100,100,8,100,8,100,8,8,100,8,100,100,8,8,8,100,100,8,100,100,8,8,100,8,100,8,100,100,8,100,8,100,100,100,100,8,100,100,100,8,8,8,8,100,8,8,8,100,8,8,8,8,100,8,8,100,8,8,8,8,8,100,8,8,8,100,100,100,100,8,100,8,8,100,8,8,8,100,100,100,8,8,8,100
9,100,1.790,9,100,9,9,9,9,100,100,9,9,100,100,9,100,9,9,100,9,100,100,100,100,100,9,100,100,9,100,9,100,100,9,9,9,9,100,100,9,9,9,9,9,9,9,100,9,100,100,100,9,100,100,100,9,100,100,100,100,100,9,9,100,100,9,9,100,100,100,100,100,100,100,9,9,100,9,9,100,100,9,9,9,100,100,9,100,9,9,9,9,9,9,100,9,100,100,100,100,9,9,100,9,9,9,9,100,100,100,9,9,9,100,100,100,100,100,100,100,100,9
10,100,1.642,10,10,10,100,10,10,100,100,100,10,10,10,10,10,100,100,100,100,100,100,10,10,100,10,10,10,10,10,100,100,10,10,100,100,100,10,100,100,10,10,10,100,10,10,10,100,100,10,10,100,100,10,100,10,10,10,10,10,10,100,100,10,10,100,100,100,10,10,100,100,100,100,100,10,10,100,10,10,100,10,100,10,100,10,100,100,10,100,100,100,10,100,10,100,100,10,100,100,100,100,10,100,10,100,10,100,100,10,10,100,100,100,100,10,100,100,10,10,100,10
