generation,population ,production rate,slow codon speed,ratio,change in production rate
14,popA,2.16,95,0.95,0
15,popA,2.16,95,0.95,0
16,popB,2.16,95,0.95,0
17,popA,2.16,95,0.95,0
18,popA,2.16,95,0.95,0
19,popA,2.16,95,0.95,0
20,popA,2.16,95,0.95,0
21,popA,2.16,95,0.95,0
22,popA,2.16,95,0.95,0
23,popA,2.16,95,0.95,0
24,popA,2.16,95,0.95,0
25,popA,2.16,95,0.95,0
26,popA,2.16,95,0.95,0
27,popA,2.16,95,0.95,0
28,popA,2.16,95,0.95,0
29,popB,2.16,95,0.95,0
30,popB,2.16,95,0.95,0
31,popB,2.16,95,0.95,0
32,popA,2.16,95,0.95,0
33,popB,2.16,95,0.95,0
34,popA,2.16,95,0.95,0
35,popA,2.16,95,0.95,0
36,popA,2.16,95,0.95,0
37,popA,2.16,95,0.95,0
38,popB,2.16,95,0.95,0
39,popA,2.16,95,0.95,0
40,popB,2.16,95,0.95,0
41,popA,2.16,95,0.95,0
42,popB,2.16,95,0.95,0
43,popA,2.16,95,0.95,0
44,popB,2.186,95,0.95,0.026
45,popB,2.186,95,0.95,0
46,popB,2.186,95,0.95,0
47,popB,2.186,95,0.95,0
48,popB,2.186,95,0.95,0
49,popB,2.186,95,0.95,0
50,popB,2.186,95,0.95,0
0,popB,2.038,96,0.96,0
1,popB,2.039,96,0.96,0.001
2,popB,2.039,96,0.96,0
3,popB,2.039,96,0.96,0
4,popB,2.039,96,0.96,0
5,popB,2.039,96,0.96,0
6,popB,2.039,96,0.96,0
7,popB,2.039,96,0.96,0
8,popB,2.039,96,0.96,0
9,popA,2.039,96,0.96,0
10,popB,2.039,96,0.96,0
11,popB,2.039,96,0.96,0
12,popA,2.039,96,0.96,0
13,popB,2.039,96,0.96,0
14,popB,2.039,96,0.96,0
15,popB,2.039,96,0.96,0
16,popB,2.039,96,0.96,0
17,popB,2.039,96,0.96,0
18,popB,2.04,96,0.96,0.001
19,popB,2.04,96,0.96,0
20,popB,2.04,96,0.96,0
21,popA,2.04,96,0.96,0
22,popA,2.04,96,0.96,0
23,popB,2.04,96,0.96,0
24,popB,2.04,96,0.96,0
25,popB,2.04,96,0.96,0
26,popB,2.04,96,0.96,0
27,popB,2.04,96,0.96,0
28,popB,2.04,96,0.96,0
29,popB,2.04,96,0.96,0
30,popB,2.04,96,0.96,0
31,popB,2.04,96,0.96,0
32,popB,2.04,96,0.96,0
33,popB,2.04,96,0.96,0
34,popA,2.04,96,0.96,0
35,popA,2.04,96,0.96,0
36,popB,2.04,96,0.96,0
37,popB,2.04,96,0.96,0
38,popB,2.04,96,0.96,0
39,popB,2.04,96,0.96,0
40,popB,2.04,96,0.96,0
41,popB,2.04,96,0.96,0
42,popB,2.041,96,0.96,0.001
43,popB,2.041,96,0.96,0
44,popB,2.041,96,0.96,0
45,popA,2.041,96,0.96,0
46,popB,2.041,96,0.96,0
47,popB,2.041,96,0.96,0
48,popA,2.041,96,0.96,0
49,popA,2.041,96,0.96,0
50,popB,2.041,96,0.96,0
0,popB,2.042,97,0.97,0
1,popB,2.042,97,0.97,0
2,popB,2.042,97,0.97,0
3,popB,2.042,97,0.97,0
4,popB,2.042,97,0.97,0
5,popB,2.042,97,0.97,0
6,popB,2.042,97,0.97,0
7,popB,2.042,97,0.97,0
8,popB,2.042,97,0.97,0
9,popB,2.042,97,0.97,0
10,popB,2.042,97,0.97,0
11,popB,2.042,97,0.97,0
12,popB,2.042,97,0.97,0
13,popB,2.042,97,0.97,0
14,popB,2.042,97,0.97,0
15,popB,2.042,97,0.97,0
16,popB,2.042,97,0.97,0
17,popB,2.042,97,0.97,0
18,popB,2.042,97,0.97,0
19,popB,2.042,97,0.97,0
20,popB,2.042,97,0.97,0
21,popB,2.042,97,0.97,0
22,popB,2.042,97,0.97,0
23,popB,2.042,97,0.97,0
24,popB,2.042,97,0.97,0
25,popB,2.042,97,0.97,0
26,popB,2.042,97,0.97,0
27,popB,2.042,97,0.97,0
28,popB,2.042,97,0.97,0
29,popB,2.042,97,0.97,0
30,popB,2.042,97,0.97,0
31,popB,2.042,97,0.97,0
32,popB,2.042,97,0.97,0
33,popB,2.042,97,0.97,0
34,popB,2.042,97,0.97,0
35,popB,2.042,97,0.97,0
36,popB,2.042,97,0.97,0
37,popB,2.042,97,0.97,0
38,popB,2.042,97,0.97,0
39,popB,2.042,97,0.97,0
40,popB,2.042,97,0.97,0
41,popB,2.042,97,0.97,0
42,popB,2.042,97,0.97,0
43,popB,2.042,97,0.97,0
44,popB,2.042,97,0.97,0
45,popB,2.042,97,0.97,0
46,popB,2.042,97,0.97,0
47,popB,2.042,97,0.97,0
48,popB,2.042,97,0.97,0
49,popB,2.042,97,0.97,0
50,popB,2.042,97,0.97,0
0,popB,2.045,98,0.98,0
1,popB,2.045,98,0.98,0
2,popB,2.045,98,0.98,0
3,popB,2.045,98,0.98,0
4,popB,2.045,98,0.98,0
5,popB,2.045,98,0.98,0
6,popB,2.045,98,0.98,0
7,popB,2.045,98,0.98,0
8,popB,2.045,98,0.98,0
9,popB,2.045,98,0.98,0
10,popB,2.045,98,0.98,0
11,popB,2.046,98,0.98,0.001
12,popB,2.046,98,0.98,0
13,popB,2.046,98,0.98,0
14,popB,2.046,98,0.98,0
15,popB,2.046,98,0.98,0
16,popB,2.046,98,0.98,0
17,popB,2.046,98,0.98,0
18,popB,2.046,98,0.98,0
19,popA,2.046,98,0.98,0
20,popB,2.046,98,0.98,0
21,popB,2.046,98,0.98,0
22,popB,2.046,98,0.98,0
23,popB,2.046,98,0.98,0
24,popB,2.046,98,0.98,0
25,popB,2.046,98,0.98,0
26,popB,2.046,98,0.98,0
27,popB,2.046,98,0.98,0
28,popB,2.046,98,0.98,0
29,popB,2.046,98,0.98,0
30,popB,2.046,98,0.98,0
31,popA,2.046,98,0.98,0
32,popB,2.046,98,0.98,0
33,popB,2.046,98,0.98,0
34,popB,2.046,98,0.98,0
35,popA,2.046,98,0.98,0
36,popB,2.046,98,0.98,0
37,popB,2.046,98,0.98,0
38,popB,2.046,98,0.98,0
39,popB,2.046,98,0.98,0
40,popB,2.046,98,0.98,0
41,popB,2.046,98,0.98,0
42,popB,2.046,98,0.98,0
43,popB,2.046,98,0.98,0
44,popB,2.046,98,0.98,0
45,popB,2.046,98,0.98,0
46,popB,2.046,98,0.98,0
47,popB,2.046,98,0.98,0
48,popB,2.046,98,0.98,0
49,popB,2.046,98,0.98,0
50,popB,2.046,98,0.98,0
0,popB,2.046,99,0.99,0
1,popB,2.046,99,0.99,0
2,popB,2.046,99,0.99,0
3,popB,2.046,99,0.99,0
4,popB,2.046,99,0.99,0
5,popB,2.046,99,0.99,0
6,popB,2.046,99,0.99,0
7,popB,2.046,99,0.99,0
8,popB,2.046,99,0.99,0
9,popB,2.046,99,0.99,0
10,popB,2.046,99,0.99,0
11,popB,2.046,99,0.99,0
12,popB,2.046,99,0.99,0
13,popB,2.046,99,0.99,0
14,popB,2.046,99,0.99,0
15,popB,2.046,99,0.99,0
16,popB,2.046,99,0.99,0
17,popB,2.046,99,0.99,0
18,popB,2.046,99,0.99,0
19,popB,2.046,99,0.99,0
20,popB,2.046,99,0.99,0
21,popB,2.046,99,0.99,0
22,popB,2.046,99,0.99,0
23,popB,2.046,99,0.99,0
24,popB,2.046,99,0.99,0
25,popB,2.046,99,0.99,0
26,popB,2.046,99,0.99,0
27,popB,2.046,99,0.99,0
28,popB,2.046,99,0.99,0
29,popB,2.046,99,0.99,0
30,popB,2.046,99,0.99,0
31,popB,2.046,99,0.99,0
32,popB,2.046,99,0.99,0
33,popB,2.046,99,0.99,0
34,popB,2.046,99,0.99,0
35,popB,2.046,99,0.99,0
36,popB,2.046,99,0.99,0
37,popB,2.046,99,0.99,0
38,popB,2.046,99,0.99,0
39,popB,2.046,99,0.99,0
40,popB,2.046,99,0.99,0
41,popB,2.046,99,0.99,0
42,popB,2.046,99,0.99,0
43,popB,2.046,99,0.99,0
44,popB,2.046,99,0.99,0
45,popB,2.046,99,0.99,0
46,popB,2.046,99,0.99,0
47,popB,2.046,99,0.99,0
48,popB,2.046,99,0.99,0
49,popB,2.046,99,0.99,0
50,popB,2.046,99,0.99,0
0,popB,2.048,100,1,0
1,popB,2.048,100,1,0
2,popB,2.048,100,1,0
3,popB,2.048,100,1,0
4,popB,2.048,100,1,0
5,popB,2.048,100,1,0
6,popB,2.048,100,1,0
7,popB,2.048,100,1,0
8,popB,2.048,100,1,0
9,popB,2.048,100,1,0
10,popB,2.048,100,1,0
11,popB,2.048,100,1,0
12,popB,2.048,100,1,0
13,popB,2.048,100,1,0
14,popB,2.048,100,1,0
15,popB,2.048,100,1,0
16,popB,2.048,100,1,0
17,popB,2.048,100,1,0
18,popB,2.048,100,1,0
19,popB,2.048,100,1,0
20,popB,2.048,100,1,0
21,popB,2.048,100,1,0
22,popB,2.048,100,1,0
23,popB,2.048,100,1,0
24,popB,2.048,100,1,0
25,popB,2.048,100,1,0
26,popB,2.048,100,1,0
27,popB,2.048,100,1,0
28,popB,2.048,100,1,0
29,popB,2.048,100,1,0
30,popB,2.048,100,1,0
31,popB,2.048,100,1,0
32,popB,2.048,100,1,0
33,popB,2.048,100,1,0
34,popB,2.048,100,1,0
35,popB,2.048,100,1,0
36,popB,2.048,100,1,0
37,popB,2.048,100,1,0
38,popB,2.048,100,1,0
39,popB,2.048,100,1,0
40,popB,2.048,100,1,0
41,popB,2.048,100,1,0
42,popB,2.048,100,1,0
43,popB,2.048,100,1,0
44,popB,2.048,100,1,0
45,popB,2.048,100,1,0
46,popB,2.048,100,1,0
47,popB,2.048,100,1,0
48,popB,2.048,100,1,0
49,popB,2.048,100,1,0
50,popB,2.048,100,1,0
Gener,ation,Rate,Min rate,Ratio slow:fast,0
