time	species	protein	transcript	ribo_density
0.000000	__proteinP_rbs	1.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
1.017290	__proteinP_rbs	0.000000	0.000000	0.000000
1.017290	__ribosome	99.000000	0.000000	0.000000
2.035574	__proteinP_rbs	1.000000	0.000000	0.000000
2.035574	__ribosome	99.000000	0.000000	0.000000
2.035574	proteinP	0.000000	1.000000	1.000000
3.124716	__proteinP_rbs	0.000000	0.000000	0.000000
3.124716	__ribosome	98.000000	0.000000	0.000000
3.124716	proteinP	0.000000	1.000000	2.000000
4.009788	__proteinP_rbs	0.000000	0.000000	0.000000
4.009788	__ribosome	97.000000	0.000000	0.000000
4.009788	proteinP	0.000000	1.000000	3.000000
5.005397	__proteinP_rbs	0.000000	0.000000	0.000000
5.005397	__ribosome	97.000000	0.000000	0.000000
5.005397	proteinP	0.000000	1.000000	3.000000
6.034632	__proteinP_rbs	0.000000	0.000000	0.000000
6.034632	__ribosome	96.000000	0.000000	0.000000
6.034632	proteinP	0.000000	1.000000	4.000000
6.999687	__proteinP_rbs	0.000000	0.000000	0.000000
6.999687	__ribosome	95.000000	0.000000	0.000000
6.999687	proteinP	0.000000	1.000000	5.000000
8.012115	__proteinP_rbs	1.000000	0.000000	0.000000
8.012115	__ribosome	95.000000	0.000000	0.000000
8.012115	proteinP	0.000000	1.000000	5.000000
9.019145	__proteinP_rbs	0.000000	0.000000	0.000000
9.019145	__ribosome	94.000000	0.000000	0.000000
9.019145	proteinP	0.000000	1.000000	6.000000
10.017243	__proteinP_rbs	1.000000	0.000000	0.000000
10.017243	__ribosome	94.000000	0.000000	0.000000
10.017243	proteinP	0.000000	1.000000	6.000000
11.005279	__proteinP_rbs	0.000000	0.000000	0.000000
11.005279	__ribosome	93.000000	0.000000	0.000000
11.005279	proteinP	0.000000	1.000000	7.000000
12.009099	__proteinP_rbs	0.000000	0.000000	0.000000
12.009099	__ribosome	92.000000	0.000000	0.000000
12.009099	proteinP	0.000000	1.000000	8.000000
13.001705	__proteinP_rbs	0.000000	0.000000	0.000000
13.001705	__ribosome	91.000000	0.000000	0.000000
13.001705	proteinP	0.000000	1.000000	9.000000
14.001797	__proteinP_rbs	1.000000	0.000000	0.000000
14.001797	__ribosome	91.000000	0.000000	0.000000
14.001797	proteinP	0.000000	1.000000	9.000000
15.004169	__proteinP_rbs	0.000000	0.000000	0.000000
15.004169	__ribosome	90.000000	0.000000	0.000000
15.004169	proteinP	0.000000	1.000000	10.000000
16.009235	__proteinP_rbs	0.000000	0.000000	0.000000
16.009235	__ribosome	90.000000	0.000000	0.000000
16.009235	proteinP	0.000000	1.000000	10.000000
17.013761	__proteinP_rbs	0.000000	0.000000	0.000000
17.013761	__ribosome	89.000000	0.000000	0.000000
17.013761	proteinP	0.000000	1.000000	11.000000
18.025068	__proteinP_rbs	1.000000	0.000000	0.000000
18.025068	__ribosome	89.000000	0.000000	0.000000
18.025068	proteinP	0.000000	1.000000	11.000000
18.999228	__proteinP_rbs	0.000000	0.000000	0.000000
18.999228	__ribosome	88.000000	0.000000	0.000000
18.999228	proteinP	0.000000	1.000000	12.000000
20.010403	__proteinP_rbs	0.000000	0.000000	0.000000
20.010403	__ribosome	87.000000	0.000000	0.000000
20.010403	proteinP	0.000000	1.000000	13.000000
20.999083	__proteinP_rbs	1.000000	0.000000	0.000000
20.999083	__ribosome	87.000000	0.000000	0.000000
20.999083	proteinP	0.000000	1.000000	13.000000
22.009519	__proteinP_rbs	0.000000	0.000000	0.000000
22.009519	__ribosome	87.000000	0.000000	0.000000
22.009519	proteinP	1.000000	1.000000	13.000000
23.008346	__proteinP_rbs	0.000000	0.000000	0.000000
23.008346	__ribosome	87.000000	0.000000	0.000000
23.008346	proteinP	1.000000	1.000000	13.000000
24.009446	__proteinP_rbs	0.000000	0.000000	0.000000
24.009446	__ribosome	86.000000	0.000000	0.000000
24.009446	proteinP	1.000000	1.000000	14.000000
25.002492	__proteinP_rbs	0.000000	0.000000	0.000000
25.002492	__ribosome	86.000000	0.000000	0.000000
25.002492	proteinP	1.000000	1.000000	14.000000
25.999627	__proteinP_rbs	0.000000	0.000000	0.000000
25.999627	__ribosome	86.000000	0.000000	0.000000
25.999627	proteinP	2.000000	1.000000	14.000000
27.002128	__proteinP_rbs	1.000000	0.000000	0.000000
27.002128	__ribosome	86.000000	0.000000	0.000000
