Generation,RBS,ORF,Terminator 
347,7,28,23
348,7,28,23
349,7,28,23
350,7,28,22
351,7,28,23
352,7,29,23
353,7,30,23
354,7,30,22
355,7,30,22
356,7,29,22
357,7,29,22
358,7,29,22
359,7,29,22
360,7,29,22
361,7,29,22
362,6,29,22
363,6,28,22
364,6,28,22
365,6,28,23
366,6,27,23
367,7,27,23
368,7,27,23
369,7,27,23
370,6,27,23
371,6,26,23
372,6,26,23
373,6,26,23
374,6,26,23
375,6,26,23
376,6,26,23
377,6,26,23
378,6,27,23
379,5,27,23
380,5,28,23
381,5,28,22
382,5,28,22
383,5,29,22
384,5,28,22
385,5,28,22
386,5,28,22
387,5,28,22
388,5,29,22
389,5,30,22
390,5,30,22
391,5,30,22
392,5,30,22
393,5,30,22
394,5,30,21
395,4,30,21
396,4,30,21
397,4,30,21
398,4,30,21
399,4,30,21
400,5,30,21
401,5,30,20
402,5,30,19
403,5,31,19
404,5,30,19
405,5,29,19
406,5,29,19
407,6,29,19
408,6,29,19
409,6,29,19
410,6,29,19
411,6,28,19
412,6,28,19
413,6,28,19
414,6,27,19
415,6,27,19
416,6,27,19
417,6,27,19
418,6,27,20
419,6,26,20
420,5,26,20
421,5,26,20
422,5,26,20
423,5,26,20
424,5,25,20
425,5,25,20
426,5,25,20
427,5,25,20
428,5,25,20
429,5,25,20
430,5,25,20
431,5,25,21
432,5,25,21
433,5,25,21
434,5,25,21
435,5,25,21
436,5,24,21
437,5,24,22
438,5,24,21
439,5,24,21
440,5,24,21
441,5,23,21
442,5,23,21
443,5,24,21
444,5,25,21
445,5,25,21
446,5,25,22
447,5,25,22
448,5,24,22
449,5,24,22
450,5,24,22
451,5,23,22
452,5,23,22
453,4,23,22
454,4,23,23
455,4,23,23
456,4,23,23
457,4,23,24
458,4,23,24
459,4,23,24
460,4,23,24
461,4,24,24
462,4,24,24
463,4,24,24
464,4,24,24
465,4,24,23
466,4,25,23
467,4,26,23
468,4,26,23
469,4,25,23
470,4,25,23
471,4,24,23
472,4,25,23
473,4,25,23
474,4,25,23
475,4,25,22
476,4,25,23
477,4,25,22
478,4,25,22
479,4,25,22
480,5,25,22
481,5,25,22
482,4,25,22
483,4,25,22
484,4,24,22
485,4,24,22
486,4,24,21
487,4,24,21
488,4,23,21
489,4,23,21
490,4,24,21
491,4,24,21
492,4,24,21
493,4,24,21
494,4,24,21
495,4,24,21
496,4,24,21
497,4,24,21
498,4,24,21
499,4,24,21
500,4,24,21
501,4,25,21
502,4,25,22
503,4,25,23
504,4,25,24
505,4,25,24
506,4,25,24
507,4,25,24
508,4,25,23
509,4,25,22
510,4,25,22
511,4,24,22
512,4,24,22
513,4,25,22
514,4,26,22
515,4,26,22
516,4,26,22
517,4,26,22
518,4,26,21
519,4,26,21
520,4,26,22
521,4,25,22
522,4,25,22
523,4,24,22
524,4,24,21
525,4,24,21
526,4,23,21
527,4,23,21
528,4,24,21
529,4,25,21
530,4,24,21
531,4,24,21
532,4,24,21
533,4,25,21
534,4,25,21
535,4,26,21
536,4,26,21
537,4,26,21
538,4,26,21
539,4,26,21
540,4,26,21
541,4,26,20
542,4,26,20
543,4,26,20
544,4,27,20
545,4,27,20
546,4,26,20
547,4,26,19
548,4,26,18
549,4,26,18
550,4,26,18
551,4,26,18
552,4,26,18
553,4,27,18
554,4,27,18
555,4,27,18
556,4,27,17
557,4,27,17
558,4,27,17
559,4,27,17
560,4,27,18
561,4,28,18
562,4,28,18
563,4,28,18
564,4,28,18
565,4,28,18
566,4,28,18
567,4,28,17
568,4,28,17
569,4,28,17
570,4,28,17
571,4,28,17
572,4,28,17
573,4,28,17
574,4,28,16
575,4,28,16
576,4,28,16
577,4,29,16
578,4,29,17
579,4,29,17
580,4,29,17
581,4,29,17
582,4,29,18
583,5,29,18
584,5,29,19
585,5,29,19
586,5,30,19
587,5,30,19
588,5,29,19
589,5,29,19
590,5,29,20
591,5,29,19
592,5,29,19
593,5,29,19
594,5,29,20
595,5,29,20
596,5,29,21
597,5,29,21
598,5,29,21
599,5,29,21
600,5,29,21
601,5,29,22
602,5,29,21
603,5,29,21
604,5,29,21
605,5,29,20
606,5,29,20
607,5,29,20
608,5,29,20
609,5,29,20
610,5,29,21
611,5,29,21
612,5,29,22
613,5,28,22
614,5,28,22
615,5,28,22
616,5,28,22
617,5,28,23
618,5,28,23
619,5,28,23
620,5,28,22
621,5,28,22
622,5,28,22
623,5,28,23
624,5,29,23
625,5,29,22
626,4,29,22
627,4,29,22
628,4,29,22
629,4,29,22
630,4,29,22
631,4,29,22
632,4,29,22
633,4,29,23
634,4,29,23
635,5,29,23
636,5,29,23
637,5,29,22
638,5,29,22
639,5,29,22
640,5,30,22
641,5,30,23
642,5,30,23
643,5,31,23
644,5,31,23
645,5,31,23
646,5,31,23
647,5,31,23
648,5,31,23
649,5,31,23
650,5,31,23
