100.0,100.0,1.120
10.0,100.0,1.405
1.0,100.0,1.015
11.0,100.0,1.201
12.0,100.0,1.133
13.0,100.0,1.410
14.0,100.0,1.009
15.0,100.0,1.195
16.0,100.0,1.360
17.0,100.0,1.251
18.0,100.0,1.531
19.0,100.0,1.188
20.0,100.0,1.219
2.0,100.0,0.909
21.0,100.0,1.377
22.0,100.0,1.135
23.0,100.0,1.253
24.0,100.0,1.140
25.0,100.0,1.444
26.0,100.0,1.442
27.0,100.0,1.278
28.0,100.0,1.476
29.0,100.0,1.098
30.0,100.0,1.141
3.0,100.0,0.892
31.0,100.0,1.308
32.0,100.0,1.191
33.0,100.0,1.360
34.0,100.0,1.354
35.0,100.0,1.082
36.0,100.0,1.152
37.0,100.0,1.325
38.0,100.0,1.346
39.0,100.0,1.110
40.0,100.0,1.080
4.0,100.0,1.247
41.0,100.0,1.128
42.0,100.0,1.145
43.0,100.0,1.224
44.0,100.0,1.052
45.0,100.0,1.097
46.0,100.0,1.399
47.0,100.0,1.117
48.0,100.0,1.116
49.0,100.0,1.398
50.0,100.0,1.120
5.0,100.0,1.203
51.0,100.0,1.209
52.0,100.0,1.373
53.0,100.0,1.374
54.0,100.0,1.228
55.0,100.0,1.144
56.0,100.0,1.151
57.0,100.0,1.267
58.0,100.0,1.129
59.0,100.0,1.151
60.0,100.0,1.142
6.0,100.0,1.007
61.0,100.0,1.046
62.0,100.0,1.122
63.0,100.0,1.100
64.0,100.0,1.275
65.0,100.0,1.101
66.0,100.0,1.162
67.0,100.0,1.152
68.0,100.0,1.150
69.0,100.0,1.132
70.0,100.0,1.124
7.0,100.0,1.263
71.0,100.0,1.121
72.0,100.0,1.110
73.0,100.0,1.246
74.0,100.0,1.112
75.0,100.0,1.102
76.0,100.0,1.111
77.0,100.0,1.233
78.0,100.0,1.126
79.0,100.0,1.019
80.0,100.0,1.150
8.0,100.0,1.098
81.0,100.0,1.127
82.0,100.0,1.134
83.0,100.0,1.214
84.0,100.0,1.110
85.0,100.0,1.071
86.0,100.0,1.111
87.0,100.0,1.113
88.0,100.0,1.115
89.0,100.0,1.113
90.0,100.0,1.117
9.0,100.0,1.213
91.0,100.0,1.074
92.0,100.0,1.075
93.0,100.0,1.117
94.0,100.0,1.118
95.0,100.0,1.077
96.0,100.0,1.121
97.0,100.0,1.121
98.0,100.0,1.121
99.0,100.0,1.121
